"Midwest Heritage Bank, FSB",,"$270,699,000",,https://www.usbanklocations.com/midwest-heritage-bank-fsb-locations.htm
The Stock Exchange Bank,,"$256,436,000",,https://www.usbanklocations.com/the-stock-exchange-bank-locations.htm
Central Bank of Warrensburg,,"$254,752,000",,https://www.usbanklocations.com/central-bank-of-warrensburg-locations.htm
Exchange Bank,,"$251,183,000",,https://www.usbanklocations.com/exchange-bank-locations.htm
Central Bank,,"$221,017,000",,https://www.usbanklocations.com/central-bank-locations.htm
Western Heritage Bank,,"$220,653,000",,https://www.usbanklocations.com/western-heritage-bank-locations.htm
EH National Bank,,"$216,520,000",,https://www.usbanklocations.com/eh-national-bank-locations.htm
Exchange Bank of Missouri,,"$205,685,000",,https://www.usbanklocations.com/exchange-bank-of-missouri-locations.htm
Central Bank of Moberly,,"$201,187,000",,https://www.usbanklocations.com/central-bank-of-moberly-locations.htm
Dakota Heritage Bank of North Dakota,,"$196,158,000",,https://www.usbanklocations.com/dakota-heritage-bank-of-north-dakota-locations.htm
West Central Bank,,"$180,595,000",,https://www.usbanklocations.com/west-central-bank-locations.htm
Central Bank,,"$174,824,000",,https://www.usbanklocations.com/central-bank-locations.htm
Central Bank of Audrain County,,"$174,370,000",,https://www.usbanklocations.com/central-bank-of-audrain-county-locations.htm
First Heritage Bank,,"$173,116,000",,https://www.usbanklocations.com/first-heritage-bank-locations.htm
Heritage Bank & Trust,,"$171,370,000",,https://www.usbanklocations.com/heritage-bank-trust-locations.htm
Home Exchange Bank,,"$167,399,000",,https://www.usbanklocations.com/home-exchange-bank-locations.htm
Central Bank of Kansas City,,"$164,541,000",,https://www.usbanklocations.com/central-bank-of-kansas-city-locations.htm
"Exchange Bank and Trust Company, Natchitoches, Louisiana",,"$157,490,000",,https://www.usbanklocations.com/exchange-bank-and-trust-company-natchitoches-louisiana-locations.htm
Central Bank and Trust,,"$151,629,000",,https://www.usbanklocations.com/central-bank-and-trust-locations.htm
Exchange Bank of Northeast Missouri,,"$150,710,000",,https://www.usbanklocations.com/exchange-bank-of-northeast-missouri-locations.htm
Lake Central Bank,,"$149,603,000",,https://www.usbanklocations.com/lake-central-bank-locations.htm
Texas Heritage Bank,,"$148,161,000",,https://www.usbanklocations.com/texas-heritage-bank-locations.htm
Heritage Bank of Schaumburg,,"$146,825,000",,https://www.usbanklocations.com/heritage-bank-of-schaumburg-locations.htm
Minden Exchange Bank & Trust Company,,"$145,197,000",,https://www.usbanklocations.com/minden-exchange-bank-trust-company-locations.htm
Heritage Bank of the Ozarks,,"$144,127,000",,https://www.usbanklocations.com/heritage-bank-of-the-ozarks-locations.htm
Security State Bank of Marine,,"$142,579,000",,https://www.usbanklocations.com/security-state-bank-of-marine-locations.htm
First Central Bank McCook,,"$121,841,000",,https://www.usbanklocations.com/first-central-bank-mccook-locations.htm
Heritage Bank of St Tammany,,"$121,622,000",,https://www.usbanklocations.com/heritage-bank-of-st-tammany-locations.htm
North Central Bank,,"$121,030,000",,https://www.usbanklocations.com/north-central-bank-locations.htm
Valley Central Bank,,"$114,292,000",,https://www.usbanklocations.com/valley-central-bank-locations.htm
First Central Bank,,"$110,042,000",,https://www.usbanklocations.com/first-central-bank-locations.htm
The Antwerp Exchange Bank Company,,"$109,057,000",,https://www.usbanklocations.com/the-antwerp-exchange-bank-company-locations.htm
The Exchange Bank,,"$107,761,000",,https://www.usbanklocations.com/the-exchange-bank-locations.htm
Philo Exchange Bank,,"$98,851,000",,https://www.usbanklocations.com/philo-exchange-bank-locations.htm
Central Bank,,"$95,891,000",,https://www.usbanklocations.com/central-bank-locations.htm
Miners Exchange Bank,,"$92,667,000",,https://www.usbanklocations.com/miners-exchange-bank-locations.htm
American Heritage Bank,,"$87,225,000",,https://www.usbanklocations.com/american-heritage-bank-locations.htm
Oklahoma Heritage Bank,,"$82,748,000",,https://www.usbanklocations.com/oklahoma-heritage-bank-locations.htm
