Bank Name,Headquarters,Asset Size,Income,USBANK Link,Website
Seacoast Commerce Bank,"11939 Rancho Bernardo Road, Suite 200, San Diego, CA 92128","$1,073,061,000","$3,554,000",https://www.usbanklocations.com/seacoast-commerce-bank.shtml,http://www.sccombank.com
Opportunity Bank of Montana,"1400 Prospect Avenue, Helena, MT 59601","$970,330,000","$2,091,000",https://www.usbanklocations.com/opportunity-bank-of-montana.shtml,www.opportunitybank.com
Exchange Bank,"545 Fourth Street, Santa Rosa, CA 95401","$2,633,093,000","$9,069,000",https://www.usbanklocations.com/exchange-bank-8468.shtml,http://www.exchangebank.com
Exchange Bank 2,"14 La Barre, Gibbon, NE 68840","$934,775,000","$4,641,000",https://www.usbanklocations.com/exchange-bank-1435.shtml,https://www.eb-us.com
Exchange Bank 3,"250 West Hancock Street, Milledgeville, GA 31061","$251,183,000","$726,000",https://www.usbanklocations.com/exchange-bank-160.shtml,www.exch.bank
"Heritage Bank USA, Inc.","4155 Lafayette Rd, Hopkinsville, KY 42240","$930,260,000","$1,177,000",https://www.usbanklocations.com/heritage-bank-usa-inc.shtml,www.bankwithheritage.com
Central Bank Illinois,"101 North State Street, Geneseo, IL 61254","$891,207,000","$2,976,000",https://www.usbanklocations.com/central-bank-illinois.shtml,http://www.central-bank.com
Community West Bank,"5827 Hollister Avenue, Goleta, CA 93117","$879,282,000","$1,518,000",https://www.usbanklocations.com/community-west-bank.shtml,www.communitywestbank.com
"Heritage Bank, Inc.","456 Commonwealth Avenue, Erlanger, KY 41018","$868,146,000","$2,146,000",https://www.usbanklocations.com/heritage-bank-inc.shtml,www.heritagebank-ky.com
Heritage Bank of Nevada,"2330 South Virginia Street, Reno, NV 89502","$840,486,000","$4,920,000",https://www.usbanklocations.com/heritage-bank-of-nevada.shtml,http://www.heritagebanknevada.com
"Wells Fargo Bank, Ltd.","707 Wilshire Boulevard, Los Angeles, CA 90017","$791,841,000",,https://www.usbanklocations.com/wells-fargo-bank-ltd.shtml,See referenced
Central Bank of Lake of the Ozarks,"3848 Osage Beach Parkway, Osage Beach, MO 65065","$761,392,000","$3,166,000",https://www.usbanklocations.com/central-bank-of-lake-of-the-ozarks.shtml,www.centralbank.net
Central Bank of Oklahoma,"8908 South Yale Avenue, Suite 100, Tulsa, OK 74137","$691,356,000","$2,501,000",https://www.usbanklocations.com/central-bank-of-oklahoma.shtml,www.centralbank.net
Santa Cruz County Bank,"75 River Street, Santa Cruz, CA 95060","$668,098,000","$2,965,000",https://www.usbanklocations.com/santa-cruz-county-bank.shtml,http://www.sccountybank.com
Summit State Bank,"500 Bicentennial Way, Santa Rosa, CA 95403","$626,290,000","$1,425,000",https://www.usbanklocations.com/summit-state-bank.shtml,http://www.summitstatebank.com
The Heritage Bank,"300 South Main Street, Hinesville, GA 31313","$568,159,000","$995,000",https://www.usbanklocations.com/the-heritage-bank.shtml,http://www.the-heritage-bank.com
Exchange Bank & Trust,"600 Commercial Street, Atchison, KS 66002","$423,501,000","$1,453,000",https://www.usbanklocations.com/exchange-bank-trust.shtml,http://WWW.MYEXCHANGEBANK.COM
Peoples Exchange Bank,"101 North Main Street, Winchester, KY 40391","$412,610,000","$1,043,000",https://www.usbanklocations.com/peoples-exchange-bank-8785.shtml,www.pebank.com
Peoples Exchange Bank 2,"2013 Highway 21 Bypass, Monroeville, AL 36460","$67,550,000","$37,000",https://www.usbanklocations.com/peoples-exchange-bank-70.shtml,www.pebmc.com
Central Bank of Sedalia,"301 West Broadway, Sedalia, MO 65301","$409,290,000","$1,719,000",https://www.usbanklocations.com/central-bank-of-sedalia.shtml,www.centralbank.net
Central Bank of Branson,"400 South Commercial Street, Branson, MO 65616","$335,030,000","$1,161,000",https://www.usbanklocations.com/central-bank-of-branson.shtml,www.centralbank.net
Coastal Heritage Bank,"195 Washington Street, Weymouth, MA 02188","$324,495,000","$287,000",https://www.usbanklocations.com/coastal-heritage-bank.shtml,www.equitablebank.com
First Choice Bank,"17785 Center Court Dr N, Cerritos, CA 90703","$1,651,443,000","$7,257,000",https://www.usbanklocations.com/first-choice-bank-57966.shtml,www.firstchoicebankca.com
First Choice Bank 2,"19 South Main Street, Pontotoc, MS 38863","$315,304,000","$825,000",https://www.usbanklocations.com/first-choice-bank-5006.shtml,https://www.firstchoice.bank
Southern Heritage Bank,"Fourth And West Park Streets, Jonesville, LA 71343","$307,882,000","$1,210,000",https://www.usbanklocations.com/southern-heritage-bank.shtml,http://www.shbnet.com
South Central Bank,"525 West Roosevelt Road, Chicago, IL 60607","$295,913,000","$352,000",https://www.usbanklocations.com/south-central-bank.shtml,http://www.banksouthcentral.com
Exchange Bank and Trust Company,"523 Delaware Street, Perry, OK 73077","$290,264,000","$1,052,000",https://www.usbanklocations.com/exchange-bank-and-trust-company.shtml,www.easybanking.net
The Exchange Bank of Alabama,"Sixth And Blount Streets, Altoona, AL 35952","$283,930,000","$548,000",https://www.usbanklocations.com/the-exchange-bank-of-alabama.shtml,www.exba.com
First Exchange Bank,"11 West Main Street, Mannington, WV 26582","$277,706,000","$889,000",https://www.usbanklocations.com/first-exchange-bank.shtml,http://www.firstexchangebank.com
"Midwest Heritage Bank, FSB","3580 Ep True Parkway, Suite 100, West Des Moines, IA 50265","$270,699,000","$1,675,000",https://www.usbanklocations.com/midwest-heritage-bank-fsb.shtml,http://www.mhbank.com
The Stock Exchange Bank,"1117 Tenth Street, Woodward, OK 73801","$256,436,000","$817,000",https://www.usbanklocations.com/the-stock-exchange-bank.shtml,www.stockexchangebank.com
Central Bank of Warrensburg,"401 North Maguire Street, Warrensburg, MO 64093","$254,752,000","$755,000",https://www.usbanklocations.com/central-bank-of-warrensburg.shtml,www.centralbank.net
Exchange Bank,"545 Fourth Street, Santa Rosa, CA 95401","$2,633,093,000","$9,069,000",https://www.usbanklocations.com/exchange-bank-8468.shtml,http://www.exchangebank.com
Exchange Bank 2,"14 La Barre, Gibbon, NE 68840","$934,775,000","$4,641,000",https://www.usbanklocations.com/exchange-bank-1435.shtml,https://www.eb-us.com
Exchange Bank 3,"250 West Hancock Street, Milledgeville, GA 31061","$251,183,000","$726,000",https://www.usbanklocations.com/exchange-bank-160.shtml,www.exch.bank
Western Heritage Bank,"230 South Alameda, Las Cruces, NM 88005","$220,653,000","$256,000",https://www.usbanklocations.com/western-heritage-bank.shtml,www.westernheritagebank.com
EH National Bank,"8484 Wilshire Boulevard Ste 100, Beverly Hills, CA 90211","$216,520,000",,https://www.usbanklocations.com/eh-national-bank.shtml,http://www.ehnbank.com
Exchange Bank of Missouri,"101 South Church Street, Fayette, MO 65248","$205,685,000","$541,000",https://www.usbanklocations.com/exchange-bank-of-missouri.shtml,www.ebmo.com
Central Bank of Moberly,"500 West Coates Street, Moberly, MO 65270","$201,187,000","$551,000",https://www.usbanklocations.com/central-bank-of-moberly.shtml,www.centralbank.net
Dakota Heritage Bank of North Dakota,"109 Main Street, Hunter, ND 58048","$196,158,000","$1,052,000",https://www.usbanklocations.com/dakota-heritage-bank-of-north-dakota.shtml,www.dhbanknd.com
West Central Bank,"400 E Buchanan, Ashland, IL 62612","$180,595,000","$227,000",https://www.usbanklocations.com/west-central-bank.shtml,www.westcentralbank.com
Central Bank of Audrain County,"203 East Liberty Street, Mexico, MO 65265","$174,370,000","$579,000",https://www.usbanklocations.com/central-bank-of-audrain-county.shtml,www.centralbank.net
First Heritage Bank,"620 Fourth Street, Centralia, KS 66415","$173,116,000","$425,000",https://www.usbanklocations.com/first-heritage-bank-4636.shtml,www.1hbank.com
First Heritage Bank 2,"801 South Fremont, Shenandoah, IA 51601","$38,362,000","$61,000",https://www.usbanklocations.com/first-heritage-bank-4457.shtml,http://www.fhbshen.com
Heritage Bank & Trust,"217 South James M. Campbell Boulevard, Columbia, TN 38401","$171,370,000","$320,000",https://www.usbanklocations.com/heritage-bank-trust.shtml,http://www.heritagebankandtrust.com
Home Exchange Bank,"220 South Broadway, Jamesport, MO 64648","$167,399,000","$578,000",https://www.usbanklocations.com/home-exchange-bank.shtml,www.bankheb.com
Central Bank of Kansas City,"2301 Independence Boulevard, Kansas City, MO 64124","$164,541,000","$1,508,000",https://www.usbanklocations.com/central-bank-of-kansas-city.shtml,www.centralbankkc.com
"Exchange Bank and Trust Company, Natchitoches, Louisiana","700 Front Street, Natchitoches, LA 71457","$157,490,000","$714,000",https://www.usbanklocations.com/exchange-bank-and-trust-company-natchitoches-louisiana.shtml,http://www.exchange-bank.com
Central Bank and Trust,"285 Main Street, Lander, WY 82520","$151,629,000","$438,000",https://www.usbanklocations.com/central-bank-and-trust.shtml,www.centralbanktrust.com
Exchange Bank of Northeast Missouri,"268 North Johnson Street, Kahoka, MO 63445","$150,710,000",,https://www.usbanklocations.com/exchange-bank-of-northeast-missouri.shtml,ebnemo.com
Lake Central Bank,"40 Chestnut Street West, Annandale, MN 55302","$149,603,000","$859,000",https://www.usbanklocations.com/lake-central-bank.shtml,www.lakecentralbank.com
Texas Heritage Bank,"1208 South Main Street, Boerne, TX 78006","$148,161,000","$490,000",https://www.usbanklocations.com/texas-heritage-bank.shtml,www.texasheritagebank.com
Heritage Bank of Schaumburg,"1535 Schaumburg Road, Schaumburg, IL 60194","$146,825,000","$418,000",https://www.usbanklocations.com/heritage-bank-of-schaumburg.shtml,www.hbschaumburg.com
Minden Exchange Bank & Trust Company,"448 North Minden Avenue, Minden, NE 68959","$145,197,000","$436,000",https://www.usbanklocations.com/minden-exchange-bank-trust-company.shtml,mindenexchange.com
Heritage Bank of the Ozarks,"1475 South Jefferson, Lebanon, MO 65536","$144,127,000","$419,000",https://www.usbanklocations.com/heritage-bank-of-the-ozarks.shtml,http://www.heritagebankozarks.com
Security State Bank of Marine,"120 Judd Street, Marine On Saint Croix, MN 55047","$142,579,000","$787,000",https://www.usbanklocations.com/security-state-bank-of-marine.shtml,www.themarinebank.com
First Central Bank McCook,"904 North Highway 83, Mc Cook, NE 69001","$121,841,000","$416,000",https://www.usbanklocations.com/first-central-bank-mccook.shtml,http://www.firstcentral.com
Heritage Bank of St Tammany,"205 North Columbia Street, Covington, LA 70433","$121,622,000","$152,000",https://www.usbanklocations.com/heritage-bank-of-st-tammany.shtml,www.heritagebank.org
North Central Bank,"126 E. High Street, Hennepin, IL 61327","$121,030,000","$325,000",https://www.usbanklocations.com/north-central-bank.shtml,www.ncb-ebanc.com
Valley Central Bank,"6550 Princeton Glendale Road, Hamilton, OH 45011","$114,292,000","$58,000",https://www.usbanklocations.com/valley-central-bank.shtml,http://www.valleycentral.org
First Central Bank,"623 Patterson, Cambridge, NE 69022","$110,042,000","$260,000",https://www.usbanklocations.com/first-central-bank.shtml,http://www.firstcentral.com
The Antwerp Exchange Bank Company,"305 South Main Street, Antwerp, OH 45813","$109,057,000","$139,000",https://www.usbanklocations.com/the-antwerp-exchange-bank-company.shtml,www.antwerpexchangebank.com
The Exchange Bank,"300 West Rogers, Skiatook, OK 74070","$107,761,000","$256,000",https://www.usbanklocations.com/the-exchange-bank.shtml,www.exb-ok.com
Philo Exchange Bank,"102 West Washington Street, Philo, IL 61864","$98,851,000","$317,000",https://www.usbanklocations.com/philo-exchange-bank.shtml,www.philobank.com
Miners Exchange Bank,"483 Front Street, Coeburn, VA 24230","$92,667,000","$84,000",https://www.usbanklocations.com/miners-exchange-bank.shtml,www.mymeb.com
American Heritage Bank,"2 South Main Street, Sapulpa, OK 74066","$1,152,825,000","$3,033,000",https://www.usbanklocations.com/american-heritage-bank-4190.shtml,http://www.ahb.bank
American Heritage Bank 2,"3300 N Prince St, Clovis, NM 88101","$87,225,000","$283,000",https://www.usbanklocations.com/american-heritage-bank-57025.shtml,www.ahbnm.com
Oklahoma Heritage Bank,"Main And Ninth Streets, Roff, OK 74865","$82,748,000","$129,000",https://www.usbanklocations.com/oklahoma-heritage-bank.shtml,http://www.okheritage.com
"American Exchange Bank, Lindsay, Oklahoma","402 South Main Street, Lindsay, OK 73052","$74,732,000","$325,000",https://www.usbanklocations.com/american-exchange-bank-lindsay-oklahoma.shtml,
American Exchange Bank,"510-512 West Main Street, Henryetta, OK 74437","$68,523,000","$179,000",https://www.usbanklocations.com/american-exchange-bank-428.shtml,americanexchange.bank
American Exchange Bank 2,"151 North 4th Street, Elmwood, NE 68349","$50,709,000","$216,000",https://www.usbanklocations.com/american-exchange-bank-10647.shtml,www.aebank.com
Peoples Exchange Bank,"101 North Main Street, Winchester, KY 40391","$412,610,000","$1,043,000",https://www.usbanklocations.com/peoples-exchange-bank-8785.shtml,www.pebank.com
Peoples Exchange Bank 2,"2013 Highway 21 Bypass, Monroeville, AL 36460","$67,550,000","$37,000",https://www.usbanklocations.com/peoples-exchange-bank-70.shtml,www.pebmc.com
Valley Exchange Bank,"214 S Main St., Lennox, SD 57039","$66,398,000","$166,000",https://www.usbanklocations.com/valley-exchange-bank.shtml,
The State Exchange Bank,"1280 Main Street, Lamont, OK 74643","$65,541,000","$231,000",https://www.usbanklocations.com/the-state-exchange-bank-13551.shtml,http://www.stateexchangebank.com
The State Exchange Bank 2,"107 South Commercial Street, Mankato, KS 66956","$34,674,000","$68,000",https://www.usbanklocations.com/the-state-exchange-bank-17375.shtml,www.stateexchange.net
G. W. Jones Exchange Bank,"119-21 West Main Street, Marcellus, MI 49067","$59,523,000","$75,000",https://www.usbanklocations.com/g-w-jones-exchange-bank.shtml,www.gwjonesbank.com
Heritage Bank Minnesota,"181 Main Street, West Concord, MN 55985","$52,147,000","$83,000",https://www.usbanklocations.com/heritage-bank-minnesota.shtml,fsbmn.com
"The Stock Exchange Bank, Caldwell, Kansas","103 South Main Street, Caldwell, KS 67022","$52,113,000","$147,000",https://www.usbanklocations.com/the-stock-exchange-bank-caldwell-kansas.shtml,www.stockxbank.com
American Exchange Bank,"510-512 West Main Street, Henryetta, OK 74437","$68,523,000","$179,000",https://www.usbanklocations.com/american-exchange-bank-428.shtml,americanexchange.bank
American Exchange Bank 2,"151 North 4th Street, Elmwood, NE 68349","$50,709,000","$216,000",https://www.usbanklocations.com/american-exchange-bank-10647.shtml,www.aebank.com
First Heritage Bank,"620 Fourth Street, Centralia, KS 66415","$173,116,000","$425,000",https://www.usbanklocations.com/first-heritage-bank-4636.shtml,www.1hbank.com
First Heritage Bank 2,"801 South Fremont, Shenandoah, IA 51601","$38,362,000","$61,000",https://www.usbanklocations.com/first-heritage-bank-4457.shtml,http://www.fhbshen.com
State Central Bank,"612 1st Street, Bonaparte, IA 52620","$37,705,000","$126,000",https://www.usbanklocations.com/state-central-bank.shtml,http://www.statecentralbank.com
The State Exchange Bank,"1280 Main Street, Lamont, OK 74643","$65,541,000","$231,000",https://www.usbanklocations.com/the-state-exchange-bank-13551.shtml,http://www.stateexchangebank.com
The State Exchange Bank 2,"107 South Commercial Street, Mankato, KS 66956","$34,674,000","$68,000",https://www.usbanklocations.com/the-state-exchange-bank-17375.shtml,www.stateexchange.net
